Vehicle Type,Total Shipments,Shipments Delivered,Route,MST Distance,Trip Time,Capacity Utilization,Time Utilization,COV_UTI (Distance Utilization)
3W,5,"1261, 1122, 883, 1004, 771",Shop -> 1261 -> 1122 -> 883 -> 1004 -> 771 -> Shop,1.09,55.45,1.0,0.23,0.07
3W,5,"1151, 640, 29, 1161, 373",Shop -> 1151 -> 640 -> 29 -> 1161 -> 373 -> Shop,2.56,62.82,1.0,0.26,0.17
3W,5,"1025, 197, 592, 186, 382",Shop -> 1025 -> 197 -> 592 -> 186 -> 382 -> Shop,3.01,65.05,1.0,0.27,0.2
3W,5,"357, 1006, 476, 887, 1051",Shop -> 357 -> 1006 -> 476 -> 887 -> 1051 -> Shop,4.65,73.25,1.0,0.31,0.31
3W,5,"139, 1031, 374, 1150, 826",Shop -> 139 -> 1031 -> 374 -> 1150 -> 826 -> Shop,4.78,73.92,1.0,0.31,0.32
3W,5,"757, 953, 637, 1204, 1166",Shop -> 757 -> 953 -> 637 -> 1204 -> 1166 -> Shop,5.6,77.98,1.0,0.32,0.37
3W,5,"1062, 519, 881, 967, 84",Shop -> 1062 -> 519 -> 881 -> 967 -> 84 -> Shop,6.08,80.4,1.0,0.33,0.41
3W,5,"897, 1037, 929, 227, 1070",Shop -> 897 -> 1037 -> 929 -> 227 -> 1070 -> Shop,4.58,72.89,1.0,0.3,0.31
3W,5,"941, 867, 630, 1138, 1184",Shop -> 941 -> 867 -> 630 -> 1138 -> 1184 -> Shop,8.5,92.52,1.0,0.39,0.57
3W,4,"634, 1174, 931, 1112",Shop -> 634 -> 1174 -> 931 -> 1112 -> Shop,6.34,81.68,1.0,0.34,0.42
3W,5,"843, 448, 1005, 319, 871",Shop -> 843 -> 448 -> 1005 -> 319 -> 871 -> Shop,10.36,101.8,1.0,0.42,0.69
3W,5,"1058, 965, 991, 596, 241",Shop -> 1058 -> 965 -> 991 -> 596 -> 241 -> Shop,6.48,82.42,1.0,0.34,0.43
3W,5,"275, 820, 689, 533, 972",Shop -> 275 -> 820 -> 689 -> 533 -> 972 -> Shop,8.24,91.18,1.0,0.38,0.55
3W,5,"954, 521, 50, 527, 149",Shop -> 954 -> 521 -> 50 -> 527 -> 149 -> Shop,7.85,89.27,1.0,0.37,0.52
3W,5,"1013, 758, 39, 136, 160",Shop -> 1013 -> 758 -> 39 -> 136 -> 160 -> Shop,7.48,87.41,1.0,0.36,0.5
3W,5,"545, 622, 162, 1242, 858",Shop -> 545 -> 622 -> 162 -> 1242 -> 858 -> Shop,9.06,95.3,1.0,0.4,0.6
3W,5,"475, 653, 656, 529, 294",Shop -> 475 -> 653 -> 656 -> 529 -> 294 -> Shop,8.9,94.5,1.0,0.39,0.59
3W,5,"219, 645, 320, 399, 577",Shop -> 219 -> 645 -> 320 -> 399 -> 577 -> Shop,10.66,103.29,1.0,0.43,0.71
3W,5,"579, 3, 1129, 52, 85",Shop -> 579 -> 3 -> 1129 -> 52 -> 85 -> Shop,11.29,106.47,1.0,0.44,0.75
3W,5,"43, 989, 293, 1043, 625",Shop -> 43 -> 989 -> 293 -> 1043 -> 625 -> Shop,11.99,109.95,1.0,0.46,0.8
3W,5,"462, 520, 147, 840, 660",Shop -> 462 -> 520 -> 147 -> 840 -> 660 -> Shop,10.44,102.21,1.0,0.43,0.7
3W,5,"569, 1182, 1090, 1250, 853",Shop -> 569 -> 1182 -> 1090 -> 1250 -> 853 -> Shop,10.52,102.61,1.0,0.43,0.7
